frame,score,height_px,length_px,area,top_x,top_y,bot_x,bot_y,end0_x,end0_y,end1_x,end1_y
P5010092.JPG,0.9140625,366,1099.4017195714828,301953,2000.1406968738142,978.4666975205491,1809.0956237304958,1290.6489840578606,2229.419215697425,1324.8268047681495,1291.6767494709827,750.9599142505978
P5010093.JPG,0.734375,484,1463.7579122437078,536174,1936.239850088421,803.9248645443137,1826.3680163442075,1275.2890338971442,2257.185230298076,1248.6237800674014,966.2175835228295,558.7036682894934
P5010094.JPG,0.7421875,421,1202.4608887206982,462428,1914.7004516138904,875.8455365633167,1899.0895842393693,1296.5560080515065,2163.297152636999,1185.2606779367002,1014.1480671482958,831.1864368184729
P5010096.JPG,0.8125,170,543.3905296087921,70127,2034.8262457527762,1201.4863906533874,1924.5193483720723,1330.8401242301297,2166.5198817014675,1376.157660537915,1698.1071719274616,1100.7256344576197
P5010097.JPG,0.62109375,111,385.84656488836754,34617,2041.6125376847654,1245.3552887768897,1991.1916549911034,1344.2427732650285,2127.715939261097,1340.0924990473477,1770.0060802336984,1195.4507748086207
P5010102.JPG,0.8671875,149,489.47166254128757,55658,2036.543863546919,1231.7930711612714,1932.4528596900332,1338.4048102713045,2180.6657995306637,1430.8652172408465,1776.3842805600439,1154.932323497204
P5010103.JPG,0.9140625,169,508.24739241165616,60820,2027.618828682459,1235.351943670621,1902.8956201028298,1349.3919420992524,2145.311294712601,1403.2067273310636,1716.9552153052882,1129.662432694813
P5010104.JPG,0.9140625,205,660.5891193820164,109015,2022.5105811039496,1116.9421982294698,1949.5422336292775,1308.5162577125207,2106.6226160106266,1289.1123886723994,1539.5058951757394,950.3549391670156
P5010105.JPG,0.9140625,240,710.8636771372268,126777,2005.738580062328,1141.1168743441747,1900.7603848001763,1356.9399002693563,2167.6361626130447,1373.637362873906,1557.91564576755,1008.1677214387764
P5010106.JPG,0.90625,262,756.7557393207821,145195,2000.196784984313,1150.837138919558,1823.2467206917813,1344.0537912735122,2162.7485316634725,1401.9642069059553,1524.392387991077,995.5399423367105
P5010107.JPG,0.87109375,347,1023.6100436138449,262715,2058.300313611926,903.3415167680612,1886.0166826632299,1204.551328207087,2269.671585253418,1214.2987658380039,1381.1373252418352,706.0818926698587
P5010108.JPG,0.79296875,318,1489.9134790839953,337643,1971.2981555027247,987.2851771847561,1828.763522377965,1271.5524429048705,2735.676060935957,1647.6641870950882,1467.0811183518954,866.3134036397215
P5010109.JPG,0.7890625,412,1259.77720465206,393468,2073.7057516820796,842.9735179937918,1800.3429814879169,1151.221463439943,2379.889697009694,1273.3511468455533,1306.5292062917163,613.8544733690144
